iucn_2021_binomial,Species,China_Red_List,IUCN_Red_List,Body_size_mm,Clutch_size_n,Trophic_level,Habitat_specificity,Geographic_range_size_km2,Dispersal_ratio_dp,Nest_type,Nest_site,Flocking_tendency,Migrant_status,Hunting_vulnerability
Phodilus_badius,Phodilus_badius,1,0,312.15,2,7,1,66.11,31.8,0,1,0,0,0
Otus_spilocephalus,Otus_spilocephalus,1,0,195,3.5,7,1,100.1,37,0,1,0,0,1
Otus_lettia,Otus_lettia,0,0,139.75,3.5,7,1,700.03,31.97,0,1,0,1,1
Otus_scops,Otus_scops,0,0,181.75,2,7,1,166,32.81,0,1,0,2,0
Otus_sunia,Otus_sunia,0,0,100,2,7,1,552.68,33.23,0,1,0,1,1
Otus_elegans,Otus_elegans,1,1,100,1.5,7,1,3.61,33.39,0,1,0,2,0
Bubo_bubo,Bubo_bubo,1,0,706.75,3,7,1,955.21,35.16,0,1,1,1,1
Bubo_nipalensis,Bubo_nipalensis,1,0,630,1,7,1,87.6,37.13,0,1,1,1,0
Bubo_scandiacus,Bubo_scandiacus,1,0,587.5,5.5,7,1,389.8,35.59,1,5,1,1,0
Bubo_blakistoni,Ketupa_blakistoni,2,3,719,1,7,1,182.32,39.5,0,1,1,0,1
Ketupa_zeylonensis,Ketupa_zeylonensis,3,0,517.15,1,7,1,82.19,35.89,0,1,1,2,0
Ketupa_flavipes,Ketupa_flavipes,3,0,617,1,7,1,161.21,33.77,1,1,1,2,0
Strix_leptogrammica,Strix_leptogrammica,1,0,298.15,1,7,1,366.7,21.01,0,1,2,1,0
Strix_aluco,Strix_aluco,1,0,210.5,3,7,1,298.91,37.77,0,1,1,0,0
Strix_uralensis,Strix_uralensis,1,0,501,2,7,1,366.78,39.36,0,1,0,0,0
Strix_nebulosa,Strix_nebulosa,1,0,605,2,7,1,365.12,22.29,0,1,0,0,0
Surnia_ulula,Surnia_ulula,1,0,368.75,8,7,1,350.32,35.1,0,1,0,0,0
Glaucidium_passerinum,Glaucidium_passerinum,1,0,168.15,5,7,1,382.01,16.29,0,1,0,0,0
Glaucidium_brodiei,Glaucidium_brodiei,0,0,152,2,7,2,267.82,11.87,0,1,0,1,1
Glaucidium_cuculoides,Glaucidium_cuculoides,0,0,151.75,2,7,1,398.38,18.01,0,1,0,0,1
Athene_noctua,Athene_noctua,0,0,117.75,2,7,2,810.92,30.32,0,1,0,1,0
Athene_brama,Athene_brama,1,0,100,2,7,1,110.11,32.12,0,1,0,1,0
Aegolius_funereus,Aegolius_funereus,1,0,120,2.5,7,1,513.98,32.05,0,1,0,2,0
Ninox_scutulata,Ninox_scutulata,1,0,199,3,7,1,310.08,38.32,0,1,0,0,0
Asio_otus,Asio_otus,0,0,360,5,7,1,959.02,25.55,1,1,0,1,0
Asio_flammeus,Asio_flammeus,1,0,370,5,7,2,961.58,21.75,1,5,1,2,0
Caprimulgus_jotaka,Caprimulgus_jotaka,0,0,168,1,5,1,716.91,25.19,1,5,1,1,1
Caprimulgus_europaeus,Caprimulgus_europaeus,0,0,170,1,5,1,336.31,21.33,1,5,1,2,0
Aerodramus_fuciphagus,Aerodramus_fuciphagus,2,0,110,1,5,1,3.52,22.92,0,1,1,2,0
Aerodramus_brevirostris,Aerodramus_brevirostris,1,0,119.15,1,5,1,189.61,51.13,0,1,1,2,0
Hirundapus_caudacutus,Hirundapus_caudacutus,0,0,198.75,2,5,5,701.83,20,0,1,1,2,0
Hirundapus_cochinchinensis,Hirundapus_cochinchinensis,1,0,190,3,5,5,70.57,38.57,0,1,0,0,0
Cypsiurus_balasiensis,Cypsiurus_balasiensis,0,0,111,1,5,2,21.52,50.58,0,1,0,1,0
Apus_apus,Apus_apus,0,0,172.15,3,5,1,772.96,50.2,0,1,0,1,0
Apus_pacificus,Apus_pacificus,0,0,181.75,1.5,5,3,919,29.95,0,1,1,0,0
Apus_nipalensis,Apus_nipalensis,0,0,111.15,3,5,2,103.77,23.29,0,1,0,0,0
Hemiprocne_coronata,Hemiprocne_coronata,0,0,116,1,5,1,39,27.1,0,1,0,0,0
Harpactes_erythrocephalus,Harpactes_erythrocephalus,1,0,356.15,3.5,1,1,300.68,31.8,0,1,0,0,1
Harpactes_oreskios,Harpactes_oreskios,1,0,190,1.5,1,1,61.67,33.81,0,1,0,0,0
Harpactes_wardi,Harpactes_wardi,1,1,371.15,3,5,1,39,33.35,0,1,0,0,0
Alcedo_hercules,Alcedo_hercules,1,1,112.15,5,6,3,113.17,15.97,0,1,0,2,2
Alcedo_atthis,Alcedo_atthis,0,0,165.5,6,6,2,961.58,13.09,0,1,0,0,1
Alcedo_meninting,Alcedo_meninting,0,0,150,6.5,6,1,39,11.57,0,1,0,0,1
Halcyon_smyrnensis,Halcyon_smyrnensis,0,0,180,6,6,9,139.95,18.17,0,1,0,0,1
Halcyon_pileata,Halcyon_pileata,0,0,187,5,6,3,606.69,18.97,0,1,0,0,1
Todiramphus_chloris,Todiramphus_chloris,0,0,120,2,6,1,16.39,15.21,0,1,0,0,0
