Species,Adult_survival,Age_at_first_reproduction,Maximum_longevity
Chloephaga_melanoptera,0.68,1.9,18.91
Chloephaga_picta,0.73,2.2,23.41
Chloephaga_hybrida,0.82,2.59,27.04
Chloephaga_poliocephala,0.81,2.52,26.16
Chloephaga_rubidiceps,0.72,2.06,22.51
Radjah_radjah,0.69,1.69,13.57
Alopochen_aegyptiaca,0.66,1.91,19.66
Alopochen_mauritiana,0.71,2,25.5
Alopochen_kervazoi,0.71,2,25.5
Tadorna_tadorna,0.69,2.28,14.1
Tadorna_ferruginea,0.63,2.03,15.22
Tadorna_cana,0.56,1.79,13.21
Tadorna_tadornoides,0.74,2.33,15.08
Tadorna_variegata,0.74,2.37,15.93
Tadorna_cristata,0.73,2.33,14.78
Plectropterus_gambensis,0.61,1.78,14.59
Cairina_moschata,0.6,1.52,13.97
Sarkidiornis_sylvicola,0.71,1.9,4.6
Sarkidiornis_melanotos,0.45,1.3,8.71
Nettapus_auritus,0.51,1.13,10.86
Nettapus_coromandelianus,0.41,1.05,11.2
Nettapus_pulchellus,0.54,1.18,12.34
Callonetta_leucophrys,0.5,1.06,12.67
Aix_sponsa,0.46,0.98,13.99
Aix_galericulata,0.52,1.07,14.93
Chenonetta_jubata,0.56,1.36,14.61
Chenonetta_finschi,0.71,1.9,14.8
Hymenolaimus_malacorhynchos,0.76,2,16.26
Merganetta_armata,0.79,2.02,14.68
Pteronetta_hartlaubii,0.62,1.13,11.49
Cyanochen_cyanoptera,0.74,2.03,18.94
Marmaronetta_angustirostris,0.51,1.07,14.26
Asarcornis_scutulata,0.65,1.75,17.58
Netta_rufina,0.57,1.13,10.76
Netta_peposaca,0.52,1.02,9.44
Netta_erythrophthalma,0.54,0.97,8.35
Aythya_ferina,0.68,1.09,20.52
Aythya_americana,0.69,1.15,21.18
Aythya_valisineria,0.68,1.13,21.79
Aythya_australis,0.69,1.06,18.16
Aythya_innotata,0.74,1.02,15.62
Aythya_baeri,0.65,1.03,18.63
Aythya_nyroca,0.65,1.01,18.6
Aythya_novaeseelandiae,0.83,1.4,20.74
Aythya_collaris,0.61,0.96,17.98
Aythya_fuligula,0.67,1.03,17.91
Aythya_marila,0.7,1.17,18.5
Aythya_affinis,0.63,1.01,19.68
Rhodonessa_caryophyllacea,0.71,1.9,20.34
Salvadorina_waigiuensis,0.78,1.94,13.12
Tachyeres_patachonicus,0.79,2.49,14.81
Tachyeres_leucocephalus,0.9,3.19,15.89
Tachyeres_pteneres,0.85,2.86,17.1
Tachyeres_brachypterus,0.81,2.49,15.34
Lophonetta_specularioides,0.76,2.11,17.18
Speculanas_specularis,0.75,2.17,22.49
Amazonetta_brasiliensis,0.66,1.58,13.44
Spatula_querquedula,0.55,0.89,17.48
Spatula_hottentota,0.57,0.91,16.02
Spatula_puna,0.57,1.01,18.49
Spatula_versicolor,0.57,1.01,19.91
Spatula_platalea,0.68,1.19,22.6
Spatula_smithii,0.68,1.15,17.44
Spatula_rhynchotis,0.62,1.04,16.63
Spatula_clypeata,0.59,1.03,18.22
Spatula_cyanoptera,0.42,0.76,14.48
Spatula_discors,0.53,0.9,19.26
Sibirionetta_formosa,0.58,1.4,16.49
Mareca_falcata,0.69,1.02,20.47
Mareca_strepera,0.54,0.82,17.07
Mareca_penelope,0.66,0.97,20.63
Mareca_americana,0.68,1.01,20.6
Mareca_sibilatrix,0.69,1.08,19.9
Anas_sparsa,0.79,1.64,21.3
Anas_undulata,0.68,1.34,20.67
Anas_melleri,0.64,1.26,19.72
Anas_superciliosa,0.65,1.26,20.56
Anas_luzonica,0.63,1.17,16.81
Anas_zonorhyncha,0.58,1.02,21.89
Anas_poecilorhyncha,0.59,1.22,19.52
Anas_laysanensis,0.59,1.08,16.86
Anas_platyrhynchos,0.5,0.99,16.93
Anas_rubripes,0.6,1.24,23.13
Anas_fulvigula,0.56,1.08,17.02
Anas_wyvilliana,0.59,1.08,16.55
Anas_theodori,0.58,1.02,21.89
Anas_albogularis,0.58,1.02,21.89
Anas_gibberifrons,0.6,1.1,16.32
Anas_gracilis,0.68,1.25,19.97
Anas_castanea,0.63,1.17,19.75
Anas_chlorotis,0.77,1.52,19.61
Anas_aucklandica,0.72,1.39,18.59
Anas_nesiotis,0.72,1.39,18.72
Anas_bernieri,0.67,1.29,19.49
Anas_capensis,0.65,1.14,16.19
Anas_bahamensis,0.58,1.12,18.23
Anas_erythrorhyncha,0.56,1.05,16.35
Anas_acuta,0.61,1.22,23.32
Anas_eatoni,0.62,1.03,21.84
Anas_marecula,0.58,1.02,21.89
Anas_georgica,0.66,1.32,21.7
Anas_crecca,0.45,0.88,16.84
Anas_andium,0.55,0.81,14.94
Anas_flavirostris,0.6,1.16,18.86
Tachybaptus_ruficollis,0.73,1.56,14.53
Tachybaptus_novaehollandiae,0.71,1.77,16.49
Tachybaptus_pelzelnii,0.76,1.81,16.78
Tachybaptus_rufolavatus,0.78,1.49,17.5
Tachybaptus_dominicus,0.67,1.31,11.73
Podilymbus_podiceps,0.7,1.26,13.16
Podilymbus_gigas,0.78,1.1,13.16
Rollandia_rolland,0.77,1.28,16.94
Rollandia_microptera,0.82,1.49,18.59
