taxa	binomial	name	count	result.accepted_id	result.authority	result.synonym	result.syn_authority
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_brunnea	Larvivora brunnea	Larvivora brunnea	1	22709727	Hodgson, 1837	Luscinia_brunnea	(Hodgson, 1837)
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_cyane	Larvivora cyane	Larvivora cyane	1	22709730	(Pallas, 1776)	Luscinia_cyane	(Pallas, 1776)
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_ruficeps	Larvivora ruficeps	Larvivora ruficeps	2	22709711	Hartert, 1907	Erithacus_ruficeps	NA
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_ruficeps	Larvivora ruficeps	Larvivora ruficeps	2	22709711	Hartert, 1907	Luscinia_ruficeps	(Hartert, 1907)
AVES_PASSERIFORMES_MUSCICAPIDAE_Larvivora_sibilans	Larvivora sibilans	Larvivora sibilans	1	22709688	Swinhoe, 1863	Luscinia_sibilans	(Swinhoe, 1863)
AVES_PASSERIFORMES_LEIOTRICHIDAE_Leioptila_annectens	Leioptila annectens	Leioptila annectens	1	22716696	Blyth, 1847	Heterophasia_annectens	(Blyth, 1847)
AVES_PASSERIFORMES_LEIOTRICHIDAE_Leiothrix_argentauris	Leiothrix argentauris	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Leiothrix_lutea	Leiothrix lutea	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_AEGITHALIDAE_Leptopoecile_elegans	Leptopoecile elegans	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_AEGITHALIDAE_Leptopoecile_sophiae	Leptopoecile sophiae	NA	NA	NA	NA	NA	NA
AVES_CICONIIFORMES_CICONIIDAE_Leptoptilos_javanicus	Leptoptilos javanicus	NA	NA	NA	NA	NA	NA
AVES_GALLIFORMES_PHASIANIDAE_Lerwa_lerwa	Lerwa lerwa	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_GRUIDAE_Leucogeranus_leucogeranus	Leucogeranus leucogeranus	Leucogeranus leucogeranus	1	22692053	(Pallas, 1773)	Grus_leucogeranus	Pallas, 1773
AVES_PASSERIFORMES_FRINGILLIDAE_Leucosticte_arctoa	Leucosticte arctoa	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_FRINGILLIDAE_Leucosticte_brandti	Leucosticte brandti	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_FRINGILLIDAE_Leucosticte_nemoricola	Leucosticte nemoricola	NA	NA	NA	NA	NA	NA
AVES_GRUIFORMES_RALLIDAE_Lewinia_striata	Lewinia striata	Lewinia striata	1	22692463	(Linnaeus, 1766)	Gallirallus_striatus	(Linnaeus, 1766)
AVES_CHARADRIIFORMES_SCOLOPACIDAE_Limnodromus_semipalmatus	Limnodromus semipalmatus	NA	NA	NA	NA	NA	NA
AVES_CHARADRIIFORMES_SCOLOPACIDAE_Limosa_lapponica	Limosa lapponica	NA	NA	NA	NA	NA	NA
AVES_CHARADRIIFORMES_SCOLOPACIDAE_Limosa_limosa	Limosa limosa	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_FRINGILLIDAE_Linaria_cannabina	Linaria cannabina	Linaria cannabina	2	22720441	(Linnaeus, 1758)	Acanthis_cannabina	NA
AVES_PASSERIFORMES_FRINGILLIDAE_Linaria_cannabina	Linaria cannabina	Linaria cannabina	2	22720441	(Linnaeus, 1758)	Carduelis_cannabina	(Linnaeus, 1758)
AVES_PASSERIFORMES_FRINGILLIDAE_Linaria_flavirostris	Linaria flavirostris	Linaria flavirostris	1	22720438	(Linnaeus, 1758)	Carduelis_flavirostris	(Linnaeus, 1758)
AVES_PASSERIFORMES_LEIOTRICHIDAE_Liocichla_omeiensis	Liocichla omeiensis	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Liocichla_phoenicea	Liocichla phoenicea	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Liocichla_ripponi	Liocichla ripponi	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LEIOTRICHIDAE_Liocichla_steerii	Liocichla steerii	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_SYLVIIDAE_Lioparus_chrysotis	Lioparus chrysotis	Lioparus chrysotis	1	22716585	(Blyth, 1845)	Alcippe_chrysotis	(Blyth, 1845)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_alishanensis	Locustella alishanensis	Locustella alishanensis	1	22732064	Rasmussen, Round, Dickinson & Rozendaal, 2000	Bradypterus_alishanensis	Rasmussen, Round, Dickinson & Rozendaal, 2000
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_chengi	Locustella chengi	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_davidi	Locustella davidi	Locustella davidi	1	22732200	(La Touche, 1923)	Bradypterus_davidi	(La Touche, 1923)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_lanceolata	Locustella lanceolata	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_luscinioides	Locustella luscinioides	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_luteoventris	Locustella luteoventris	Locustella luteoventris	1	22714533	(Hodgson, 1845)	Bradypterus_luteoventris	(Hodgson, 1845)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_major	Locustella major	Locustella major	1	22714523	(Brooks, 1872)	Bradypterus_major	(Brooks, 1872)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_mandelli	Locustella mandelli	Locustella mandelli	1	22734189	(W.E. Brooks, 1875)	Bradypterus_mandelli	(W.E. Brooks, 1875)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_naevia	Locustella naevia	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_tacsanowskia	Locustella tacsanowskia	Locustella tacsanowskia	1	22714528	Swinhoe, 1871	Bradypterus_tacsanowskius	(Swinhoe, 1871)
AVES_PASSERIFORMES_LOCUSTELLIDAE_Locustella_thoracica	Locustella thoracica	NA	NA	NA	NA	NA	NA
AVES_PASSERIFORMES_ESTRILDIDAE_Lonchura_atricapilla	Lonchura atricapilla	NA	NA	NA	NA	NA	NA
